-0.1097	0.5517	1
0.1097	-0.5517	0
-0.2392	0.5774	1
0.2392	-0.5774	0
-0.382	0.5716	1
0.382	-0.5716	0
-0.5303	0.5303	1
0.5303	-0.5303	0
-0.6756	0.4514	1
0.6756	-0.4514	0
-0.8084	0.3348	1
0.8084	-0.3348	0
-0.9195	0.1829	1
0.9195	-0.1829	0
-1	0	1
1	0	0
-1.0421	-0.2073	1
1.0421	0.2073	0
-1.0394	-0.4305	1
1.0394	0.4305	0
-0.9874	-0.6597	1
0.9874	0.6597	0
-0.8839	-0.8839	1
0.8839	0.8839	0
-0.7292	-1.0913	1
0.7292	1.0913	0
-0.5262	-1.2703	1
0.5262	1.2703	0
-0.2804	-1.4099	1
0.2804	1.4099	0
0	-1.5	1
0	1.5	0
0.3048	-1.5325	1
-0.3048	1.5325	0
0.6219	-1.5013	1
-0.6219	1.5013	0
0.9375	-1.4031	1
-0.9375	1.4031	0
1.2374	-1.2374	1
-1.2374	1.2374	0
1.507	-1.007	1
-1.507	1.007	0
1.7323	-0.7175	1
-1.7323	0.7175	0
1.9003	-0.378	1
-1.9003	0.378	0
2	0	1
-2	0	0
2.0229	0.4024	1
-2.0229	-0.4024	0
1.9632	0.8132	1
-1.9632	-0.8132	0
1.8188	1.2153	1
-1.8188	-1.2153	0
1.591	1.591	1
-1.591	-1.591	0
1.2848	1.9228	1
-1.2848	-1.9228	0
0.9089	2.1942	1
-0.9089	-2.1942	0
0.4755	2.3907	1
-0.4755	-2.3907	0
0	2.5	1
0	-2.5	0
-0.4999	2.5133	1
0.4999	-2.5133	0
-1.0045	2.4252	1
1.0045	-2.4252	0
-1.4931	2.2346	1
1.4931	-2.2346	0
-1.9445	1.9445	1
1.9445	-1.9445	0
-2.3385	1.5625	1
2.3385	-1.5625	0
-2.6561	1.1002	1
2.6561	-1.1002	0
-2.8811	0.5731	1
2.8811	-0.5731	0
-3	0	1
3	0	0
-3.0036	-0.5975	1
3.0036	0.5975	0
-2.8871	-1.1959	1
2.8871	1.1959	0
-2.6503	-1.7709	1
2.6503	1.7709	0
-2.2981	-2.2981	1
2.2981	2.2981	0
-1.8403	-2.7542	1
1.8403	2.7542	0
-1.2916	-3.1181	1
1.2916	3.1181	0
-0.6706	-3.3714	1
0.6706	3.3714	0
0	-3.5	1
0	3.5	0
